"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.80,,
0.050,0.80,-0.01,
0.100,0.80,-0.01,-0.04
0.150,0.80,-0.02,-0.05
0.200,0.80,-0.02,0.02
0.250,0.79,-0.02,0.09
0.300,0.79,-0.01,0.08
0.350,0.79,-0.01,0.01
0.400,0.79,-0.01,0.06
0.450,0.79,-0.01,0.33
0.500,0.79,0.01,0.73
0.550,0.79,0.07,1.11
0.600,0.80,0.13,1.41
0.650,0.81,0.21,1.65
0.700,0.82,0.30,1.75
0.750,0.84,0.39,1.59
0.800,0.86,0.47,1.24
0.850,0.88,0.51,1.44
0.900,0.91,0.55,2.05
0.950,0.94,0.75,2.32
1.000,0.97,0.85,2.65
1.050,1.05,0.91,3.74
1.100,1.06,1.18,5.02
1.150,1.13,1.54,3.56
1.200,1.25,1.73,-0.53
1.250,1.32,1.43,-3.33
1.300,1.38,1.13,-2.58
1.350,1.42,1.14,-0.01
1.400,1.49,1.25,1.07
1.450,1.56,1.31,0.70
1.500,1.62,1.28,0.70
1.550,1.68,1.32,1.66
1.600,1.75,1.45,2.71
1.650,1.82,1.64,2.59
1.700,1.91,1.77,1.12
1.750,2.01,1.77,-0.84
1.800,2.09,1.65,-1.93
1.850,2.17,1.51,-1.93
1.900,2.24,1.46,-1.41
1.950,2.31,1.38,-0.64
2.000,2.39,1.35,0.29
2.050,2.44,1.42,0.07
2.100,2.52,1.51,-3.02
2.150,2.61,1.25,-7.31
2.200,2.67,0.62,-8.92
2.250,2.66,0.12,-6.39
2.300,2.65,-0.04,-2.63
2.350,2.66,-0.01,-0.67
2.400,2.66,-0.04,-0.14
2.450,2.66,-0.08,0.35
2.500,2.65,-0.01,1.01
2.550,2.65,0.07,0.92
2.600,2.66,0.11,0.02
2.650,2.66,0.07,-0.80
2.700,2.67,-0.01,-1.05
2.750,2.66,-0.05,-0.51
2.800,2.66,-0.08,-1.26
2.850,2.66,-0.01,-5.29
2.900,2.65,-0.43,-9.82
2.950,2.67,-1.29,-8.80
3.000,2.52,-1.74,-0.23
3.050,2.40,-1.33,8.43
3.100,2.40,-0.46,9.99
3.150,2.39,-0.05,5.86
3.200,2.39,-0.03,1.67
3.250,2.39,0.00,0.11
3.300,2.39,-0.01,-0.28
3.350,2.39,-0.04,-0.39
3.400,2.38,-0.07,-0.10
3.450,2.38,-0.05,0.22
3.500,2.38,-0.03,0.24
3.550,2.38,-0.02,0.05
3.600,2.38,-0.03,-0.03
3.650,2.38,-0.03,0.05
3.700,2.37,-0.02,0.15
3.750,2.37,-0.01,0.16
3.800,2.37,0.00,0.11
3.850,2.37,0.00,0.03
3.900,2.37,0.00,-0.06
3.950,2.37,-0.01,-0.12
4.000,2.37,-0.02,-0.05
4.050,2.37,-0.02,0.12
4.100,2.37,0.00,0.19
4.150,2.37,0.01,0.09
4.200,2.37,0.00,0.00
4.250,2.37,3.75E-4,0.06
